code,name,price,hex,color_category,categoryName,variantSizes,image
0751471_group_001,Slacks,"{'currencyIso': 'USD', 'value': 19.99, 'priceType': 'BUY', 'formattedValue': '$ 19.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 65, 'filterCode': '24'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 70, 'filterCode': '26'}]","https://lp2.hm.com/hmgoepprod?set=source[/31/eb/31eb6532e61a8ae8d66b3a94f52ad73d612814cf.jpg],origin[dam],category[ladies_trousers_chinosslacks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0751471_group_102,Slacks,"{'currencyIso': 'USD', 'value': 19.99, 'priceType': 'BUY', 'formattedValue': '$ 19.99', 'type': 'WHITE'}",##3C404C,Warm,Ladies,"[{'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 70, 'filterCode': '26'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 59, 'filterCode': '22'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 65, 'filterCode': '24'}]","https://lp2.hm.com/hmgoepprod?set=source[/bc/32/bc32043d4f83c49ee5def8d70e2b596e06ccc338.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0988242_group_004,Fitted Blazer,"{'currencyIso': 'USD', 'value': 39.99, 'priceType': 'BUY', 'formattedValue': '$ 39.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 370, 'filterCode': 'L'}]","https://lp2.hm.com/hmgoepprod?set=source[/5c/be/5cbed0421f76bfd31909a5a4a3d36bfc68567f94.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1137208_group_001,Oversized T-shirt,"{'currencyIso': 'USD', 'value': 9.99, 'priceType': 'BUY', 'formattedValue': '$ 9.99', 'type': 'WHITE'}",##ECEDEC,Neutral,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 381, 'filterCode': '3XL'}]","https://lp2.hm.com/hmgoepprod?set=source[/7d/b7/7db7139e1d8de4e4b34be4e7b596b636aa6b3db2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1245409_group_001,Canvas Cargo Pants,"{'currencyIso': 'USD', 'value': 11.99, 'priceType': 'BUY', 'formattedValue': '$ 11.99', 'type': 'RED'}",##272628,Neutral,Ladies,"[{'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 59, 'filterCode': '22'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 65, 'filterCode': '24'}, {'orderFilter': 70, 'filterCode': '26'}]","https://lp2.hm.com/hmgoepprod?set=source[/db/fb/dbfb8dc0a36d61d793134ab409d0360f731ce233.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1045459_group_040,Harper High Rise Wide Leg Jeans,"{'currencyIso': 'USD', 'value': 34.99, 'priceType': 'BUY', 'formattedValue': '$ 34.99', 'type': 'WHITE'}",##494A4F,Warm,Ladies,"[{'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 59, 'filterCode': '22'}, {'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 16, 'filterCode': '12'}]","https://lp2.hm.com/hmgoepprod?set=source[/d4/9c/d49ca497ba3cf2682678e4659546a4047a3e1e75.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1222670_group_002,Ava Ultra High Rise Wide Leg Jeans,"{'currencyIso': 'USD', 'value': 29.99, 'priceType': 'BUY', 'formattedValue': '$ 29.99', 'type': 'WHITE'}",##8898AC,Neutral,Ladies,"[{'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 70, 'filterCode': '26'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 54, 'filterCode': '20'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 65, 'filterCode': '24'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 4, 'filterCode': '0'}]","https://lp2.hm.com/hmgoepprod?set=source[/c4/72/c4724779267c64460c7845cd4a81b45de9db3faa.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1234748_group_001,High Waist Leggings,"{'currencyIso': 'USD', 'value': 9.99, 'priceType': 'BUY', 'formattedValue': '$ 9.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 381, 'filterCode': '3XL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 384, 'filterCode': '4XL'}]","https://lp2.hm.com/hmgoepprod?set=source[/20/c1/20c1de12d91f5b350aacc7886f020b49b59e2b69.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1232418_group_007,Fine-Knit Turtleneck Top,"{'currencyIso': 'USD', 'value': 9.99, 'priceType': 'BUY', 'formattedValue': '$ 9.99', 'type': 'RED'}",##A0A0A0,Neutral,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 357, 'filterCode': 'XXS'}]","https://lp2.hm.com/hmgoepprod?set=source[/c4/9d/c49d5729eb35eb3feb748fceef3b12af4afdb4d6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0975845_group_001,High Waist Joggers,"{'currencyIso': 'USD', 'value': 24.99, 'priceType': 'BUY', 'formattedValue': '$ 24.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 372, 'filterCode': 'XL'}]","https://lp2.hm.com/hmgoepprod?set=source[/5c/b9/5cb922f69fc1fd8abf18fd0930e765ef4d5bc95b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
